行业名称,行业代码
全行业,*
玻璃玻纤,546
通用设备,545
综合行业,539
化学制品,538
游戏,1046
房地产服务,1045
生物制品,1044
玻璃玻纤,546
半导体,1036
包装材料,733
保险,474
采掘行业,1017
船舶制造,729
电子化学品,1039
电源设备,1034
电池,1033
电机,1030
多元金融,738
电网设备,457
电子元件,459
电力行业,428
房地产服务,1045
风电设备,1032
非金属材料,1020
房地产开发,451
纺织服装,436
光学光电子,1038
光伏设备,1031
工程机械,739
贵金属,732
工程咨询服务,726
钢铁行业,479
公用事业,427
工程建设,425
化学制品,538
化学原料,1019
化肥行业,731
环保行业,728
航运港口,450
航空机场,420
互联网服务,447
化学制药,465
航天航空,480
化纤行业,471
教育,740
计算机设备,735
家用轻工,440
家电行业,456
交运设备,429
旅游酒店,485
美容护理,1035
贸易行业,484
煤炭行业,437
能源金属,1015
农药兽药,730
酿酒行业,477
农牧饲渔,433
汽车整车,1029
汽车服务,1016
汽车零部件,481
燃气,1028
软件开发,737
生物制品,1044
塑料制品,454
商业百货,482
石油行业,464
食品饮料,438
水泥建材,424
通用设备,545
通信服务,736
铁路公路,421
通信设备,448
物流行业,422
文化传媒,486
消费电子,1037
小金属,1027
橡胶制品,1018
游戏,1046
医药商业,1042
医疗器械,1041
医疗服务,727
有色金属,478
银行,475
仪器仪表,458
综合行业,539
专业服务,1043
中药,1040
专用设备,910
珠宝首饰,734
装修装饰,725
证券,473
装修建材,476
造纸印刷,470
